batch,car,nodes,length_m,travel_time,rho_mean,speed_kph,start_x,start_y,goal_x,goal_y
0,0,21,980.7,88.26,1.188,40.0,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
0,1,4,358.2,26.11,0.194,49.4,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
0,2,21,980.7,96.15,1.188,36.7,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
0,3,8,717.7,62.82,0.7,41.1,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
0,4,15,757.0,101.78,1.268,26.8,489506.40551119833,5513217.219580263,489862.83108759683,5512714.270364838
0,5,21,980.7,163.31,1.188,21.6,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
0,6,43,1121.3,215.22,0.673,18.8,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
0,7,6,243.0,18.54,0.183,47.2,489475.6250078953,5511909.17517744,489611.11977763043,5512015.712892384
1,0,5,410.5,34.16,0.821,43.3,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
1,1,21,980.7,158.22,0.997,22.3,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
1,2,5,410.5,37.75,0.821,39.1,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
1,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
1,4,4,358.2,35.76,0.894,36.1,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
1,5,5,410.5,53.95,0.821,27.4,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
1,6,8,717.7,93.19,0.728,27.7,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
2,0,5,410.5,45.98,1.08,32.1,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
2,1,2,60.1,3.61,0.167,60.0,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
2,2,5,410.5,57.37,1.08,25.8,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
2,3,21,980.7,139.87,0.846,25.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
2,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
2,5,5,410.5,72.51,1.08,20.4,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
3,0,4,358.2,43.16,1.061,29.9,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
3,1,15,757.0,97.58,1.533,27.9,489506.40551119833,5513217.219580263,489862.83108759683,5512714.270364838
3,2,21,980.7,156.41,1.373,22.6,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
3,3,16,779.0,177.87,1.511,15.8,489490.83191282937,5513232.770646456,489862.83108759683,5512714.270364838
3,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
3,5,30,858.3,109.01,0.606,28.3,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
3,6,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
3,7,43,1121.3,279.67,0.925,14.4,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
3,8,5,410.5,65.73,0.99,22.5,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
4,0,8,717.7,90.12,1.203,28.7,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
4,1,4,358.2,41.41,1.025,31.1,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
4,2,8,717.7,112.4,1.203,23.0,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
4,3,37,897.6,193.1,0.838,16.7,489506.40551119833,5513217.219580263,489862.83108759683,5512714.270364838
4,4,5,410.5,62.16,0.935,23.8,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
4,5,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
4,6,8,717.7,159.83,1.203,16.2,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
5,0,2,60.1,3.61,0.203,59.9,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
5,1,5,410.5,49.74,1.295,29.7,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
5,2,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
5,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
5,4,4,358.2,50.87,1.393,25.3,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
5,5,5,410.5,75.77,1.295,19.5,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
5,6,5,410.5,95.1,1.295,15.5,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
6,0,21,980.7,116.4,1.137,30.3,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
6,1,21,980.7,151.87,1.137,23.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
6,2,2,60.1,3.69,0.288,58.7,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
